Nota,Genero,Edad,Entorno Urbano,Familia <=3,Padres Separados,Nivel Edu Madre,Nivel Edu Padre,Tutor No Paterno,Tiempo Casa-Escuela,Tiempo Estudio Semanal,Extraescolares,Acceso Internet,Relación Romántica,Calidad Relación Familiar,Tiempo Estudio,Sale con Amigos,Alcohol Semana,Alcohol Finde,Estado Salud,Ausencias
0.0,0,19,1,1,0,1,2,1,1,2,1,0,1,4,2,4,2,2,3,0
6.5,0,19,1,0,0,2,1,1,3,2,0,1,1,3,4,1,1,1,2,20
5.5,1,19,1,0,0,1,2,1,1,2,0,1,0,4,5,2,2,2,4,3
5.5,0,19,1,1,0,3,2,1,2,2,0,1,1,4,2,2,1,2,1,22
6.5,0,19,1,0,0,1,1,1,1,3,0,1,1,4,1,2,1,1,3,14
5.5,0,19,0,0,0,2,3,1,1,3,0,1,1,4,1,2,1,1,3,40
0.0,0,18,1,0,0,2,1,0,2,2,1,1,0,5,3,3,1,2,1,0
4.5,0,18,1,0,0,4,3,0,1,3,1,1,1,4,3,4,1,1,5,9
5.0,0,17,0,0,0,3,4,0,1,3,1,1,0,4,3,4,2,5,5,0
5.5,0,18,1,0,0,4,4,0,1,2,0,1,0,4,4,4,3,3,5,2
6.5,0,17,1,0,1,4,3,0,1,2,0,1,1,5,2,2,1,2,5,23
4.5,0,17,1,0,0,2,2,0,1,2,0,0,1,4,2,2,1,1,3,12
5.5,0,17,0,1,0,2,2,0,1,3,1,1,0,3,3,2,2,2,3,3
7.5,0,17,1,0,0,3,1,0,1,3,0,1,0,3,4,3,2,3,5,1
7.5,0,17,1,1,0,0,2,0,2,3,0,1,0,3,3,3,2,3,2,0
5.5,1,18,1,0,0,4,4,0,1,3,1,1,0,4,3,3,2,2,3,3
8.0,1,17,1,0,0,3,3,0,1,1,1,1,0,4,3,5,3,5,5,3
5.0,1,17,0,0,0,2,2,0,4,1,0,1,0,4,4,5,5,5,4,8
4.5,0,17,1,0,0,4,4,0,1,3,1,1,0,5,4,4,1,3,4,7
7.0,0,17,1,0,0,4,4,0,2,3,0,1,1,4,3,3,1,2,4,4
4.0,1,18,1,1,0,2,2,0,1,4,1,1,0,4,5,5,2,4,5,2
7.0,0,17,0,0,0,2,4,0,1,3,0,1,1,4,4,3,1,1,5,7
0.0,0,18,1,0,0,3,3,0,1,2,1,1,0,5,3,4,1,1,4,0
0.0,0,18,1,1,0,2,2,1,1,2,1,1,1,4,3,3,1,1,2,0
0.0,0,18,0,0,0,2,2,0,2,4,1,0,0,4,4,4,1,1,4,0
7.5,0,17,1,0,0,3,4,0,1,3,0,1,0,4,4,5,1,3,5,16
6.5,0,19,0,0,1,3,1,1,1,3,0,0,0,5,4,3,1,2,5,12
0.0,0,17,1,0,0,3,2,0,1,2,0,1,1,4,3,2,2,3,2,0
8.5,0,18,1,1,0,3,3,0,1,4,0,1,0,5,3,3,1,1,1,7
5.0,0,17,0,0,1,3,2,0,1,2,0,1,0,4,3,3,2,3,2,4
5.5,0,19,1,0,0,2,1,1,1,3,1,1,1,4,3,4,1,3,3,4
0.0,1,18,1,0,0,4,4,0,1,2,1,1,0,4,3,3,2,2,2,0
7.5,1,18,1,1,0,3,4,0,1,2,1,1,1,4,3,3,1,3,5,11
0.0,0,17,1,0,1,2,2,0,1,2,0,1,1,3,3,1,1,2,4,0
5.0,0,18,1,0,0,2,3,0,1,3,0,1,0,4,3,3,1,2,3,4
7.0,0,18,1,0,0,3,2,0,1,3,0,1,1,5,4,3,2,3,1,7
8.0,1,18,0,0,0,4,3,0,1,3,0,1,1,5,3,2,1,2,4,9
4.5,1,18,1,0,0,4,3,0,1,3,0,1,1,5,4,5,2,3,5,0
7.5,0,17,1,0,0,4,3,0,1,3,1,1,1,4,4,3,1,3,4,0
6.5,1,18,0,0,0,3,2,0,2,1,0,1,0,2,5,5,5,5,5,10
4.0,1,19,0,0,0,1,1,1,3,2,0,1,0,5,4,4,3,3,2,8
6.5,1,17,1,0,0,3,3,0,2,2,0,1,0,4,5,4,2,3,3,2
4.0,1,18,1,1,0,1,3,0,1,1,0,1,1,4,3,3,2,3,3,7
4.0,1,19,0,0,0,1,1,1,3,1,0,1,0,4,4,4,3,3,5,4
5.5,1,17,0,0,0,4,3,0,2,2,1,1,1,4,5,5,1,3,2,4
4.5,0,18,1,0,0,3,3,0,1,2,0,0,1,5,3,4,1,1,5,0
6.5,0,17,0,0,0,4,4,0,2,2,1,1,0,4,3,3,1,2,5,4
5.5,0,17,1,1,1,3,2,0,2,2,0,0,1,1,2,3,1,2,5,2
5.0,1,18,1,1,0,1,1,0,2,1,0,1,1,3,3,2,1,2,3,4
8.0,0,18,1,1,0,1,1,0,2,3,0,1,0,5,3,2,1,1,4,0
6.5,0,18,0,1,1,1,4,0,3,2,0,0,1,4,3,4,1,4,5,0
6.0,1,18,0,1,0,1,1,0,2,2,1,0,0,4,4,3,2,3,5,2
5.0,0,18,1,0,0,3,3,0,2,2,0,1,1,4,3,2,1,3,3,0
7.5,0,17,1,1,0,4,4,0,1,2,1,1,1,2,3,4,1,1,1,0
6.0,0,17,0,0,0,1,2,0,2,2,0,0,0,3,2,2,1,2,3,0
5.0,1,18,0,0,0,1,3,0,2,2,0,0,0,3,3,4,2,4,3,4
6.5,1,18,1,1,0,4,4,0,2,3,0,1,1,4,2,2,2,2,5,0
0.0,0,17,0,0,0,1,1,0,3,1,0,1,1,5,2,1,1,2,1,0
5.0,0,18,1,0,0,2,3,0,2,1,0,1,1,5,2,3,1,2,4,0
5.5,0,18,0,0,0,4,4,0,3,2,0,1,1,3,2,2,4,2,5,10
4.5,0,19,1,1,0,3,2,1,2,2,1,0,1,3,2,2,1,1,3,4
6.0,1,18,0,1,0,1,2,0,3,1,1,1,1,4,3,3,2,3,3,3
5.5,0,17,1,0,0,2,2,0,1,3,1,0,1,3,4,3,1,1,3,8
2.5,0,17,0,0,0,1,2,0,1,1,1,1,0,3,5,5,1,3,1,14
9.5,0,18,0,1,0,4,4,0,2,3,0,1,0,5,4,4,1,1,1,0
5.0,0,18,0,0,0,1,1,0,4,3,0,1,0,4,3,2,1,2,4,2
7.5,0,20,1,0,0,4,2,1,2,3,0,1,1,5,4,3,1,1,3,4
5.0,0,18,0,1,0,4,4,0,1,2,1,1,0,5,4,3,3,4,2,4
7.5,0,18,1,0,0,3,3,0,1,2,0,1,1,4,1,3,1,2,1,0
5.0,0,17,0,0,0,3,1,0,1,2,1,1,0,4,5,4,2,3,1,17
7.0,1,18,1,0,0,4,4,0,1,2,1,1,0,3,2,4,1,4,2,4
3.5,1,18,0,0,0,2,1,0,2,1,1,1,1,4,4,3,1,3,5,5
5.0,1,17,1,0,0,2,3,0,2,2,1,1,0,4,4,3,1,1,3,2
0.0,1,19,0,0,0,1,1,0,2,1,0,0,0,4,3,2,1,3,5,0
2.5,1,18,0,0,0,4,2,0,2,1,0,0,0,5,4,3,4,3,3,14
5.0,0,18,0,0,0,2,2,0,2,3,0,0,0,5,3,3,1,3,4,2
3.0,0,18,0,0,0,4,4,0,3,1,1,1,1,4,4,3,2,2,5,7
0.0,0,19,0,0,0,2,3,0,1,3,1,1,0,5,4,2,1,2,5,0
4.0,0,18,1,1,0,3,1,0,1,2,0,1,0,4,3,4,1,1,1,0
0.0,0,18,1,0,0,1,1,0,2,2,1,0,0,1,1,1,1,1,5,0
4.5,1,20,1,1,1,2,2,1,1,2,0,0,0,5,5,4,4,5,4,11
8.0,1,17,1,1,0,3,1,0,2,1,0,1,0,2,4,5,3,4,2,3
3.5,1,21,0,0,0,1,1,1,1,1,0,0,0,5,5,3,3,3,3,3
5.0,1,18,0,1,0,3,2,0,3,1,0,1,0,4,4,1,3,4,5,0
4.5,1,19,1,1,0,1,1,0,1,1,0,1,0,3,2,3,3,3,5,5
